"","owner","amount_token"
"1","0xede25f41e2c28708be61b583cc9cb6771e113fbe",157087.145833333
"2","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",117699.573125
"3","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",139446.57125
"4","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",65150.25
"5","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",111581.641125
"6","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",78390.7891666668
"7","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",11841.5416666667
"8","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",44673.1440885387
"9","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",42460.3795833333
"10","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",49272.2738333335
"11","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",48328.1305
"12","0x7a75f008c92d94761ff156ef54d99133f3054be4",54830.6174999999
"13","0x98d142a1039ff6384bbc07c6231708e14b24a96d",41274.93625
"14","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",38993.2445833333
"15","0x5da53876a2b37b49ee42c34522c9fced42047658",27102.3729166667
"16","0x15870af7a292ad698827182fdd11b083298a9990",22350
"17","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",32542.2358333333
"18","0x1c496ed78215eac4978f02cca335ff3a358e1f35",35885.1933333334
"19","0x5f90ebc41c07089502a32d683480ea3fe2410d34",37455.72125
"20","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",28427.9300241049
"21","0x0b5f261b9060259c16fa80cde329644f5e215c21",16256.35375
"22","0x15943e1951e0e3803cb62121315507fb5b054787",18856.293375
"23","0x562cd9d3e460bf542fca162b4720e340a72c4618",16663.8766942251
"24","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",23219.7250000001
"25","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",22319.0121971372
"26","0x0d413542e648034f704394646f5ffb12022fc8d5",20773.5916666667
